,word,type,antonyms
275,anticlockwise,adverb,clockwise
276,antimagnetic,adjective,magnetic
277,antipyretic,adjective,pyretic
278,antiseptic,adjective,septic
279,antonymous,adjective,synonymous
280,antrorse,adjective,retrorse
281,aperiodic,adjective,periodic
282,apetalous,adjective,petalous
283,aphrodisiac,adjective,anaphrodisiac
284,aphrodisiacal,adjective,anaphrodisiac
285,aplacental,adjective,placental
286,apocarpous,adjective,syncarpous
287,apocrine,adjective,eccrine
288,apologetic,adjective,unapologetic
289,appareled,verb,undress
290,appealable,adjective,unappealable
291,appealing,verb,repel
292,appealing,adjective,unappealing|unsympathetic
293,appendaged,adjective,unappendaged
294,appetising,adjective,unappetizing
295,appetizing,adjective,unappetizing
296,applied,verb,defy|exempt
297,applied,adjective,theoretical
298,appointed,adjective,elective
299,appointive,adjective,elective
300,apposable,adjective,unopposable
301,appreciated,verb,depreciate|depreciate
302,approachable,adjective,unapproachable
303,appropriate,adjective,inappropriate
304,approved,verb,disapprove|disapprove
305,approving,noun,disapproval
306,approving,verb,disapprove|disapprove
307,apropos,adjective,malapropos
308,apteral,adjective,peripteral
309,aquatic,adjective,terrestrial
310,aqueous,adjective,igneous
311,arbitrable,adjective,nonarbitrable
312,arbitrary,adjective,nonarbitrary
313,arboreal,adjective,nonarboreal
314,arboreous,adjective,nonarboreal
315,arenaceous,adjective,argillaceous
316,argillaceous,adjective,arenaceous
317,argumentative,adjective,unargumentative
318,armed,verb,disarm
319,armed,adjective,unarmed|armless|unarmed
320,armless,adjective,armed
321,armored,adjective,unarmored|unarmored
322,armoured,adjective,unarmored|unarmored
323,aroused,verb,fall asleep|sedate;de-energize;de-energise|cause to sleep
324,arranged,verb,disarrange
325,arranged,adjective,disarranged
326,artesian,adjective,subartesian
327,artful,adjective,ingenuous|artless
328,articulate,adjective,inarticulate|unarticulated
329,articulated,adjective,unarticulated
330,artificial,adjective,natural
331,artiodactyl,noun,odd-toed ungulate
332,artless,adjective,disingenuous|artful
333,ascendant,noun,descendant
334,ascendent,noun,descendant
335,ascending,verb,descend|set
336,ascending,adjective,descending
337,asexual,adjective,sexual
338,ashamed,adjective,unashamed
339,asleep,adjective,awake
340,asserting,adjective,interrogative;interrogatory
341,assertive,adjective,unassertive
342,assigned,adjective,unassigned
343,assimilating,verb,dissimilate|dissimilate|dissimilate
344,assisted,adjective,unassisted
345,associate,verb,dissociate
346,associative,adjective,nonassociative
347,associatory,adjective,nonassociative
348,assured,verb,worry
349,assuring,verb,worry
350,astigmatic,adjective,anastigmatic
351,astomatous,adjective,stomatous
352,astringent,adjective,nonastringent
353,asymmetric,adjective,symmetrical
354,asymmetrical,adjective,symmetrical
355,asynchronous,adjective,synchronous|synchronous
356,asyndetic,adjective,syndetic
357,atomic,adjective,conventional
358,atomistic,adjective,holistic
359,atomistical,adjective,holistic
360,atonal,adjective,tonal
361,atonic,adjective,tonic
362,atoxic,adjective,toxic
363,atrophied,adjective,hypertrophied
364,attachable,adjective,detachable
365,attached,verb,detach|detach
366,attached,adjective,detached|unattached
367,attacking,verb,defend
368,attended,verb,miss
369,attended,adjective,unaccompanied
370,attentive,adjective,inattentive|heedless
371,attired,verb,underdress;dress down
372,attractive,adjective,unattractive|repulsive
373,attributable,adjective,unattributable
374,attributive,adjective,predicative
375,atypical,adjective,typical
376,audible,adjective,inaudible
377,auspicious,adjective,inauspicious
378,authorised,adjective,unauthorized
379,authorized,adjective,unauthorized
380,autochthonous,adjective,allochthonous
381,autoecious,adjective,heteroecious
382,autogamic,adjective,endogamous
383,autogamous,adjective,endogamous
384,autogenic,adjective,heterogenous
385,autogenous,adjective,heterogenous
386,autologous,adjective,homologous
387,automatic,adjective,manual
388,autophytic,adjective,heterotrophic
389,autotrophic,adjective,heterotrophic
390,autumnal,adjective,wintry
391,available,adjective,unavailable
392,avascular,adjective,vascular
393,avenged,adjective,unavenged
394,avertable,adjective,inevitable
395,avertible,adjective,inevitable
396,avirulent,adjective,virulent
397,avoidable,adjective,inevitable
398,avowed,verb,disavow
399,awake,verb,fall asleep
400,awake,adjective,asleep
401,awakened,verb,cause to sleep|fall asleep
402,awakened,adjective,unawakened
403,aware,adjective,unaware|unmindful
404,away,adjective,home
405,awed,adjective,unawed
406,awestricken,adjective,unawed
407,awestruck,adjective,unawed
408,awful,adjective,nice
409,awkward,adjective,graceful
410,awned,adjective,awnless
411,awnless,adjective,awned
412,awny,adjective,awnless
413,azonal,adjective,zonal
414,back,noun,front|front
415,back,verb,advance|front|veer
416,back,adjective,front
417,back,adverb,forward|ahead;forward
418,backed,verb,advance|front|veer
419,backed,adjective,backless
420,backhand,adjective,forehand
421,backhanded,adjective,forehand
422,backless,adjective,backed
423,backward,adjective,forward|forward
424,backward,adverb,forward|ahead;forward
425,bad,noun,good;goodness
426,bad,adjective,good|unregretful
427,balanced,verb,unbalance
428,balanced,adjective,unbalanced
429,balconied,adjective,unbalconied
430,banded,adjective,unbanded
431,baptised,adjective,unbaptized
432,baptized,adjective,unbaptized
433,bare,adjective,sheathed|covered
434,bared,verb,unbar
435,barred,verb,unbar
436,barreled,adjective,unbarreled
437,barrelled,adjective,unbarreled
438,basal,adjective,cauline
439,basic,adjective,incidental
440,basipetal,adjective,acropetal
441,basiscopic,adjective,acroscopic
442,beaked,adjective,beakless
443,beakless,adjective,beaked
444,bearing,adjective,nonbearing
445,beautiful,adjective,ugly
446,bedded,verb,get up;turn out
447,bedded,adjective,unstratified|bedless
448,bedless,adjective,bedded
449,beginning,noun,ending|middle|middle|finish
450,beginning,verb,end|end|end
451,begrimed,verb,clean
452,believable,adjective,incredible
453,belittled,verb,flatter
454,belittling,verb,flatter
455,bellied,adjective,bellyless
456,bellyless,adjective,bellied
457,below the belt,adverb,fairly
458,belted,verb,unbelt
459,belted,adjective,unbelted
460,beltless,adjective,belted
461,bended,verb,straighten|unbend
462,beneficed,adjective,unbeneficed
463,beneficent,adjective,maleficent
464,benign,adjective,malignant|malign
465,benignant,adjective,malign
466,bent,verb,straighten|unbend
467,beseeching,adjective,imperative
468,best,noun,worst
469,best,adjective,worst|bad|evil
470,best,adverb,ill|ill|badly|badly;disadvantageously|badly
471,better,verb,worsen|worsen
472,better,adjective,worse|worse|bad|evil|ill
473,better,adverb,ill|ill|badly|badly;disadvantageously|badly
474,bettering,verb,worsen|worsen
475,bettering,adjective,worsening
476,biaural,adjective,monaural
477,bibbed,adjective,bibless
478,bibless,adjective,bibbed
479,bicameral,adjective,unicameral
480,bidirectional,adjective,unidirectional
481,biennial,adjective,perennial
482,big,adjective,small;little
483,big,adverb,small
484,bigger,adjective,small;little
485,bilaterally symmetrical,adjective,actinomorphic
486,bimodal,adjective,unimodal
487,binaural,adjective,monaural
488,binding,verb,unbind|untie
489,binuclear,adjective,trinucleate
490,binucleate,adjective,trinucleate
491,binucleated,adjective,trinucleate
492,biological,adjective,adoptive
493,biovular,adjective,identical
494,biped,adjective,quadrupedal;quadruped
495,bipedal,adjective,quadrupedal;quadruped
496,bipolar,adjective,unipolar
497,bisexual,adjective,heterosexual
498,bivalent,adjective,multivalent
499,bivalve,adjective,univalve
500,bivalved,adjective,univalve
501,black,noun,white|white
502,black,verb,whiten
503,black,adjective,white|white
504,black-and-white,adjective,color
505,black and white,adjective,color
506,blackened,verb,whiten
507,blame,verb,absolve
508,blamed,verb,absolve
509,blear,verb,focus
510,blemished,adjective,unblemished
511,blended,adjective,unblended
512,blessed,verb,curse|desecrate
513,blessed,adjective,cursed
514,blest,verb,curse|desecrate
515,blest,adjective,cursed
516,blind,adjective,sighted
517,blocked,verb,unstuff|free|remember|unfreeze;unblock
518,blond,adjective,brunet
519,blonde,adjective,brunet
520,bloodless,adjective,bloody
521,bloody,adjective,bloodless
522,blown,verb,conserve
523,blue-collar,adjective,white-collar
524,blunt,verb,sharpen|enliven
525,blunted,verb,sharpen|enliven
526,blurred,verb,focus|focus|focus
527,bodied,adjective,unbodied
528,boiled,verb,freeze
529,bold,adjective,timid
530,boneless,adjective,bony
531,boney,adjective,boneless
532,bony,adjective,boneless
533,bordered,adjective,unbordered
534,bored,verb,interest
535,boring,verb,interest
536,born,adjective,unborn
537,bottle-fed,adjective,breast-fed
538,bottom,noun,top
